Generacion,Fitness
0,-0.2968163308407748
1,-0.2968163308407748
2,-0.2968163308407748
3,-0.2968163308407748
4,-0.13074409009212304
5,-0.09593993299420328
6,-0.09593993299420328
7,-0.09593993299420328
8,-0.09593993299420328
9,-0.036261886214694616
10,-0.036261886214694616
11,-0.036261886214694616
12,-0.036261886214694616
13,-0.036261886214694616
14,-0.036261886214694616
15,-0.036261886214694616
16,-0.036261886214694616
17,-0.036261886214694616
18,-0.036261886214694616
19,-0.036261886214694616
20,-0.036261886214694616
21,-0.036261886214694616
22,-0.036261886214694616
23,-0.036261886214694616
24,-0.036261886214694616
25,-0.036261886214694616
26,-0.036261886214694616
27,-0.036261886214694616
28,-0.036261886214694616
29,-0.036261886214694616
30,-0.036261886214694616
31,-0.036261886214694616
32,-0.036261886214694616
33,-0.036261886214694616
34,-0.036261886214694616
35,-0.036261886214694616
36,-0.036261886214694616
37,-0.036261886214694616
38,-0.036261886214694616
39,-0.036261886214694616
40,-0.036261886214694616
41,-0.036261886214694616
42,-0.036261886214694616
43,-0.036261886214694616
44,-0.036261886214694616
45,-0.036261886214694616
46,-0.036261886214694616
47,-0.036261886214694616
48,-0.036261886214694616
49,-0.036261886214694616
50,-0.036261886214694616
51,-0.036261886214694616
52,-0.036261886214694616
53,-0.036261886214694616
54,-0.036261886214694616
55,-0.036261886214694616
56,-0.036261886214694616
57,-0.036261886214694616
58,-0.036261886214694616
59,-0.036261886214694616
60,-0.036261886214694616
61,-0.036261886214694616
62,-0.036261886214694616
63,-0.036261886214694616
64,-0.036261886214694616
65,-0.036261886214694616
66,-0.036261886214694616
67,-0.036261886214694616
68,-0.036261886214694616
69,-0.036261886214694616
70,-0.036261886214694616
71,-0.036261886214694616
72,-0.036261886214694616
73,-0.036261886214694616
74,-0.036261886214694616
75,-0.036261886214694616
76,-0.036261886214694616
77,-0.036261886214694616
78,-0.036261886214694616
79,-0.036261886214694616
80,-0.036261886214694616
81,-0.036261886214694616
82,-0.036261886214694616
83,-0.036261886214694616
84,-0.036261886214694616
85,-0.036261886214694616
86,-0.036261886214694616
87,-0.036261886214694616
88,-0.036261886214694616
89,-0.036261886214694616
90,-0.036261886214694616
91,-0.036261886214694616
92,-0.036261886214694616
93,-0.036261886214694616
94,-0.036261886214694616
95,-0.036261886214694616
96,-0.036261886214694616
97,-0.036261886214694616
98,-0.036261886214694616
99,-0.036261886214694616
