Generacion,Fitness
0,-1.149983325499134
1,-1.149983325499134
2,-1.091094233354734
3,-1.091094233354734
4,-1.091094233354734
5,-1.091094233354734
6,-1.091094233354734
7,-1.091094233354734
8,-1.091094233354734
9,-1.091094233354734
10,-1.091094233354734
11,-1.091094233354734
12,-1.091094233354734
13,-1.091094233354734
14,-1.091094233354734
15,-1.091094233354734
16,-1.091094233354734
17,-1.091094233354734
18,-1.091094233354734
19,-1.091094233354734
20,-1.091094233354734
21,-1.091094233354734
22,-1.091094233354734
23,-1.091094233354734
24,-1.091094233354734
25,-1.091094233354734
26,-1.091094233354734
27,-1.091094233354734
28,-1.091094233354734
29,-1.091094233354734
30,-1.091094233354734
31,-1.091094233354734
32,-1.091094233354734
33,-1.091094233354734
34,-1.091094233354734
35,-1.091094233354734
36,-1.091094233354734
37,-1.091094233354734
38,-1.091094233354734
39,-1.091094233354734
40,-1.091094233354734
41,-1.091094233354734
42,-1.091094233354734
43,-1.091094233354734
44,-1.091094233354734
45,-1.091094233354734
46,-1.091094233354734
47,-1.091094233354734
48,-1.091094233354734
49,-1.091094233354734
50,-1.091094233354734
51,-1.091094233354734
52,-1.091094233354734
53,-1.091094233354734
54,-1.091094233354734
55,-1.091094233354734
56,-1.091094233354734
57,-1.091094233354734
58,-1.091094233354734
59,-1.091094233354734
60,-1.091094233354734
61,-1.091094233354734
62,-1.091094233354734
63,-1.091094233354734
64,-1.091094233354734
65,-1.091094233354734
66,-1.091094233354734
67,-1.091094233354734
68,-1.091094233354734
69,-1.091094233354734
70,-1.091094233354734
71,-1.091094233354734
72,-1.091094233354734
73,-1.091094233354734
74,-1.091094233354734
75,-1.091094233354734
76,-1.091094233354734
77,-1.091094233354734
78,-1.091094233354734
79,-1.091094233354734
80,-1.091094233354734
81,-1.091094233354734
82,-1.091094233354734
83,-1.091094233354734
84,-1.091094233354734
85,-1.091094233354734
86,-1.091094233354734
87,-1.091094233354734
88,-1.091094233354734
89,-1.091094233354734
90,-1.091094233354734
91,-1.091094233354734
92,-1.091094233354734
93,-1.091094233354734
94,-1.091094233354734
95,-1.091094233354734
96,-1.091094233354734
97,-1.091094233354734
98,-1.091094233354734
99,-1.091094233354734
100,-1.091094233354734
101,-1.091094233354734
102,-1.091094233354734
103,-1.091094233354734
104,-1.091094233354734
105,-1.091094233354734
106,-1.091094233354734
107,-1.091094233354734
108,-1.091094233354734
109,-1.091094233354734
110,-1.091094233354734
111,-1.091094233354734
112,-1.091094233354734
113,-1.091094233354734
114,-1.091094233354734
115,-1.091094233354734
116,-1.091094233354734
117,-1.091094233354734
118,-1.091094233354734
119,-1.091094233354734
120,-1.091094233354734
121,-1.091094233354734
122,-1.091094233354734
123,-1.091094233354734
124,-1.091094233354734
125,-1.091094233354734
126,-1.091094233354734
127,-1.091094233354734
128,-1.091094233354734
129,-1.091094233354734
130,-1.091094233354734
131,-1.091094233354734
132,-1.091094233354734
133,-1.091094233354734
134,-1.091094233354734
135,-1.091094233354734
136,-1.091094233354734
137,-1.091094233354734
138,-1.091094233354734
139,-1.091094233354734
140,-1.091094233354734
141,-1.091094233354734
142,-1.091094233354734
143,-1.091094233354734
144,-1.091094233354734
145,-1.091094233354734
146,-1.091094233354734
147,-1.091094233354734
148,-1.091094233354734
149,-1.091094233354734
